Date,msft,google,meta,tesla
22-01-2024,396.5100098,147.7100067,381.7799988,208.8000031
23-01-2024,398.8999939,148.6799927,385.2000122,209.1399994
24-01-2024,402.5599976,150.3500061,390.7000122,207.8300018
25-01-2024,404.8699951,153.6399994,393.1799927,182.6300049
26-01-2024,403.9299927,153.7899933,394.1400146,183.25
29-01-2024,409.7200012,154.8399963,401.019989,190.9299927
30-01-2024,408.5899963,153.0500031,400.0599976,191.5899963
31-01-2024,397.5799866,141.8000031,390.1400146,187.2899933
01-02-2024,403.7799988,142.7100067,394.7799988,188.8600006
02-02-2024,411.2200012,143.5399933,474.9899902,187.9100037
05-02-2024,405.6499939,144.9299927,459.4100037,181.0599976
06-02-2024,405.4899902,145.4100037,454.7200012,185.1000061
07-02-2024,414.0499878,146.6799927,469.5899963,187.5800018
08-02-2024,414.1099854,147.2200012,470,189.5599976
09-02-2024,420.5499878,150.2200012,468.1099854,193.5700073
12-02-2024,415.2600098,148.7299957,468.8999939,188.1300049
13-02-2024,406.3200073,146.3699951,460.1199951,184.0200043
14-02-2024,409.4899902,147.1399994,473.2799988,188.7100067
15-02-2024,406.5599976,143.9400024,484.0299988,200.4499969
16-02-2024,404.0599976,141.7599945,473.3200073,199.9499969
20-02-2024,402.7900085,142.1999969,471.75,193.7599945
21-02-2024,402.1799927,143.8399963,468.0299988,194.7700043
22-02-2024,411.6499939,145.3200073,486.1300049,197.4100037
23-02-2024,410.3399963,145.2899933,484.0299988,191.9700012
26-02-2024,407.5400085,138.75,481.7399902,199.3999939
27-02-2024,407.480011,140.1000061,487.0499878,199.7299957
28-02-2024,407.7200012,137.4299927,484.019989,202.0399933
29-02-2024,413.6400146,139.7799988,490.1300049,201.8800049
01-03-2024,415.5,138.0800018,502.2999878,202.6399994
04-03-2024,414.9200134,134.1999969,498.1900024,188.1399994
05-03-2024,402.6499939,133.7799988,490.2200012,180.7400055
06-03-2024,402.0899963,132.5599976,496.0899963,176.5399933
07-03-2024,409.1400146,135.2400055,512.1900024,178.6499939
08-03-2024,406.2200012,136.2899933,505.9500122,175.3399963
11-03-2024,404.519989,138.9400024,483.5899963,177.7700043
12-03-2024,415.2799988,139.6199951,499.75,177.5399933
13-03-2024,415.1000061,140.7700043,495.5700073,169.4799957
14-03-2024,425.2200012,144.3399963,491.8299866,162.5
15-03-2024,416.4200134,142.1699982,484.1000061,163.5700073
18-03-2024,417.3200073,148.4799957,496.980011,173.8000031
19-03-2024,421.4100037,147.9199982,496.2399902,171.3200073
20-03-2024,425.230011,149.6799927,505.519989,175.6600037
21-03-2024,429.3699951,148.7400055,507.7600098,172.8200073
22-03-2024,428.7399902,151.7700043,509.5799866,170.8300018
25-03-2024,422.8599854,151.1499939,503.019989,172.6300049
26-03-2024,421.6499939,151.6999969,495.8900146,177.6699982
27-03-2024,421.4299927,151.9400024,493.8599854,179.8300018
28-03-2024,420.7200012,152.2599945,485.5799866,175.7899933
01-04-2024,424.5700073,156.5,491.3500061,175.2200012
